latitud,longitud,price,beds
45.4037121,-73.9399148,4880000,5
45.4037121,-73.9399148,3895000,5
45.4037121,-73.9399148,1900000,4
45.4037121,-73.9399148,1725000,4
45.403743,-73.9500175,800000,3
45.4054132,-73.9465412,1195000,6
45.4054323,-73.9259002,1490000,4
45.4086256,-73.9571556,550000,4
45.4086712,-73.9561603,649000,4
45.4087412,-73.9573005,545000,3
45.4087412,-73.9573005,545000,3
45.4091632,-73.9139814,2200000,3
45.4091884,-73.9237585,849888,4
45.411496,-73.9581706,1195000,5
45.4115355,-73.9303682,749000,4
45.412275,-73.9123504,1699000,5
45.4122892,-73.9041451,4500000,3
45.4124658,-73.9041845,1200000,3
45.4126076,-73.9275057,549000,3
45.4129979,-73.8987149,2900000,6
45.4151541,-73.908485,1250000,5
45.4155884,-73.6242346,499000,3
45.4156306,-73.8928527,1988000,6
45.4157087,-73.888711,2375000,5
45.4157509,-73.6311952,995000,2
45.4157509,-73.6311952,349000,2
45.4163348,-73.6190074,679000,3
45.4166039,-73.9054991,1695000,5
45.4176338,-73.61293,579000,3
45.4177286,-73.6123158,695000,3
45.4177972,-73.6120837,989000,3
45.417857,-73.6140458,688000,3
45.4179746,-73.6452208,399000,2
45.4179959,-73.6124891,679000,4
45.4180337,-73.8829934,3188888,6
45.4186752,-73.9041149,1290000,6
45.4187608,-73.8857541,1275000,5
45.4191834,-73.6274877,575000,3
45.4200197,-73.8861038,539900,3
45.4209499,-73.6384593,629000,3
45.420977,-73.6031475,1690000,3
45.4210422,-73.6319955,299000,2
45.4214968,-73.6534697,999000,3
45.4215,-73.9032521,1998000,4
45.4215899,-73.6454242,599000,1
45.4217888,-73.8786924,589000,12
45.4224255,-73.8718866,2359000,6
45.422461,-73.6494321,599000,3
45.4227496,-73.929571,739204,4
45.4227496,-73.929571,556555,4
45.4227496,-73.929571,521765,4
45.4227496,-73.929571,478278,3
45.4228352,-73.6261833,749900,3
45.4232648,-73.6505148,1530000,3
45.4245229,-73.6319614,579000,3
45.4245497,-73.8838936,1998000,6
45.4263688,-73.6509584,424000,3
45.4270873,-73.6628002,1149000,4
45.4271837,-73.6631963,2150000,3
45.428098,-73.6593443,265000,2
45.4284326,-73.5946749,600000,4
45.4284326,-73.5946749,600000,1
45.4284747,-73.6649463,220000,1
45.4287999,-73.6015682,249000,5
45.4290622,-73.595279,395000,5
45.4291129,-73.6029588,619000,2
45.429326,-73.6696847,1225000,3
45.4293586,-73.6695938,1285000,3
45.4294565,-73.6693212,1437000,3
45.4295485,-73.8931723,1700000,5
45.4301569,-73.6053135,449990,2
45.4301906,-73.6304476,599000,6
45.4302141,-73.6642084,610000,3
45.4304421,-73.6210792,638000,3
45.4307113,-73.5920792,925000,3
45.4308895,-73.6636189,539000,3
45.4313612,-73.5972729,349000,2
45.4314106,-73.6577243,425000,1
45.4314502,-73.6242798,289000,2
45.4316569,-73.6415235,675000,1
45.4316843,-73.672796,2095000,1
45.4319452,-73.8311682,349000,3
45.4320592,-73.6201048,639000,3
45.4325405,-73.6791228,425000,1
45.4325853,-73.8674715,899000,4
45.4326665,-73.5959141,478000,12
45.4327529,-73.6441082,239900,2
45.4327551,-73.6710106,425000,5
45.4330222,-73.6728423,375000,3
45.4335303,-73.6324908,559000,3
45.4336719,-73.6839781,299000,3
45.4339469,-73.8343705,608000,4
45.4341805,-73.8715139,725000,12
45.4342826,-73.5990321,549000,3
45.4346237,-73.9702867,1489000,5
45.434701,-73.6037842,349000,2
45.4348199,-73.6710804,175000,1
45.4348562,-73.6737277,1200000,1
45.4348845,-73.6983578,2399000,7
45.4349854,-73.8868326,2195000,5
45.435118,-73.8871467,2095000,2
45.43515,-73.6447122,557000,4
45.4351567,-73.8041091,3200000,6
45.4352413,-73.664273,505900,3
45.4352413,-73.664273,505900,1
45.4352413,-73.664273,502900,3
45.4352413,-73.664273,489900,3
45.4352413,-73.664273,445900,2
45.4352413,-73.664273,428900,3
45.4352413,-73.664273,427900,2
45.4352413,-73.664273,421900,2
45.4352413,-73.664273,416900,4
45.4352413,-73.664273,411900,2
45.4352413,-73.664273,411900,5
45.4352413,-73.664273,406900,2
45.4352413,-73.664273,406900,2
45.4352413,-73.664273,405900,2
45.4352413,-73.664273,400900,2
45.4352413,-73.664273,400900,2
45.4352413,-73.664273,383900,2
45.4352413,-73.664273,382900,2
45.4352413,-73.664273,375900,2
45.4352413,-73.664273,368900,2
45.4352413,-73.664273,295900,1
45.4352413,-73.664273,279900,1
45.4355191,-73.6853231,449000,3
45.4357256,-73.6143548,409000,2
45.4357633,-73.806392,1985000,5
45.4357763,-73.8350984,620000,5
45.4358246,-73.6848353,418400,2
45.4358259,-73.6846294,475000,3
45.4360147,-73.9687345,2995000,5
45.4360309,-73.8862652,1589000,6
45.4360429,-73.7002163,369000,4
45.4364671,-73.5905914,699000,3
45.4369281,-73.6811668,399000,2
45.4369281,-73.6811668,249000,4
45.4369395,-73.7067638,320000,2
45.4371051,-73.8263996,885000,3
45.4371833,-73.7299341,1695000,3
45.4372156,-73.7296866,3750000,4
45.4376138,-73.8067926,1100000,4
45.4376627,-73.6707437,379900,2
45.4376627,-73.6707437,250000,4
45.4376627,-73.6707437,219000,2
45.4376627,-73.6707437,189900,2
45.4376627,-73.6707437,189000,2
45.4377458,-73.6633202,415000,2
45.4377778,-73.6855248,369000,3
45.4377778,-73.6855248,299000,1
45.4377784,-73.6633198,499000,3
45.4378035,-73.681186,269000,1
45.4378035,-73.681186,205000,4
45.4380113,-73.6968728,579000,4
45.4381948,-73.7302,489900,4
45.4382897,-73.6280163,959000,2
45.438339,-73.5822427,999000,4
45.4384456,-73.6633137,339000,5
45.4384965,-73.6170307,709000,4
45.4385396,-73.878744,650000,12
45.4385931,-73.6151956,739000,11
45.4386671,-73.6645656,1175000,4
45.4386779,-73.9663993,1700000,5
45.4387372,-73.867601,988900,4
45.4387605,-73.7411499,839000,2
45.4387637,-73.6104179,320000,2
45.4388771,-73.6634534,369900,4
45.4390457,-73.882275,929000,2
45.4390588,-73.6293323,585000,4
45.4391667,-73.7391169,349900,2
45.4392686,-73.6683543,489000,3
45.4392839,-73.7209045,478000,2
45.4394454,-73.8051835,649000,5
45.4394791,-73.7364111,439000,2
45.4394791,-73.7364111,329000,1
45.4395286,-73.7504895,997141,6
45.4395545,-73.7503234,3390303,4
45.4396183,-73.7210504,469000,2
45.4396912,-73.7359248,329000,3
45.4397044,-73.7505368,1121771,2
45.4398301,-73.6924352,449000,3
45.4398301,-73.6924352,259000,1
45.4398941,-73.615343,699000,5
45.4398941,-73.615343,694500,5
45.4398941,-73.615343,694500,5
45.4398941,-73.615343,683500,5
45.4398941,-73.615343,683500,5
45.4398941,-73.615343,683500,5
45.4398941,-73.615343,683500,5
45.4398941,-73.615343,666500,5
45.4398941,-73.615343,666500,5
45.4398941,-73.615343,625500,5
45.4404829,-73.767754,1695000,4
45.4406548,-73.7251059,1700000,5
45.4408202,-73.8042843,699000,2
45.4408985,-73.7275552,748000,4
45.4409334,-73.7298249,239000,2
45.4410358,-73.7701118,1265000,3
45.4410548,-73.7743478,1899000,3
45.441165,-73.6636448,369900,3
45.441218,-73.8943434,995000,4
45.4412531,-73.8615658,608000,4
45.4416135,-73.6792622,549000,4
45.4416826,-73.7099556,193000,2
45.441786,-73.7721231,549500,12
45.4417862,-73.6717468,489000,3
45.4418086,-73.6970715,579000,3
45.4418164,-73.7277294,1050000,7
